# Table S4. Top-100 co-expression partners of Rv2516c in each of the two expression compendia used for the genome-wide, unbiased co-expression scan (3,911 genes each), ranked by Spearman correlation within each compendium. The top-50 subset used for the hypergeometric enrichment test against the four curated regulons (DosR, SigH, SigF, and the union of Rv2516c's five known upstream regulators) is flagged in the top50 column.
compendium	rank	partner_locus	product	spearman_r	p_value	q_BH	top50
GSE166501	1	Rv2517c	hypothetical protein	0.9286	2.932e-12	1.181e-08	yes
GSE166501	2	Rv1989c	hypothetical protein	0.9066	7.426e-11	7.481e-08	yes
GSE166501	3	Rv2021c	transcriptional regulator	0.9011	1.472e-10	9.884e-08	yes
GSE166501	4	Rv1990c	transcriptional regulator	0.8755	2.275e-09	4.825e-07	yes
GSE166501	5	Rv3007c	oxidoreductase	0.8626	7.201e-09	5.804e-07	yes
GSE166501	6	Rv3053c	glutaredoxin electron transport protein NrdH	0.8614	7.988e-09	6.074e-07	yes
GSE166501	7	Rv2050	RNA polymerase-binding protein RbpA	0.8535	1.532e-08	7.716e-07	yes
GSE166501	8	Rv3334	MerR family transcriptional regulator	0.8504	1.948e-08	8.533e-07	yes
GSE166501	9	Rv2020c	Conserved hypothetical protein	0.8394	4.438e-08	1.287e-06	yes
GSE166501	10	Rv0810c	hypothetical protein	0.8333	6.833e-08	1.659e-06	yes
GSE166501	11	Rv3290c	L-lysine-epsilon aminotransferase	0.8297	8.780e-08	1.944e-06	yes
GSE166501	12	Rv2035	hypothetical protein	0.8211	1.541e-07	2.724e-06	yes
GSE166501	13	Rv3046c	hypothetical protein	0.8193	1.732e-07	3.022e-06	yes
GSE166501	14	Rv2875	major secreted immunogenic protein Mpt70	0.8053	4.069e-07	5.485e-06	yes
GSE166501	15	Rv2369c	hypothetical protein	0.8004	5.391e-07	6.768e-06	yes
GSE166501	16	Rv3289c	transmembrane protein	0.7930	8.105e-07	9.200e-06	yes
GSE166501	17	Rv3287c	anti-sigma factor RsbW	0.7845	1.278e-06	1.291e-05	yes
GSE166501	18	Rv3230c	stearoyl-CoA 9-desaturase electron transfer protein	0.7705	2.591e-06	2.101e-05	yes
GSE166501	19	Rv2663	hypothetical protein	0.7668	3.090e-06	2.395e-05	yes
GSE166501	20	Rv1833c	haloalkane dehalogenase	0.7656	3.275e-06	2.509e-05	yes
GSE166501	21	Rv2034	ArsR family HTH-type transcriptional repressor	0.7576	4.737e-06	3.378e-05	yes
GSE166501	22	Rv2022c	hypothetical protein	0.7558	5.148e-06	3.595e-05	yes
